RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  152  678     0     0  con    3  7.7D-01  4.9D-02  1.005D-03        NaN
  153  682     0     0  con    3  4.9D+00  1.7D-01  1.451D-03        NaN
  154  687     0     0  con    4  4.0D-01  7.1D-02  1.594D-03        NaN
  155  693     0     0  con    5  2.5D+00  3.5D-01  1.906D-03        NaN
  156  699     0     0  con    5  3.2D+00  1.5D-01  2.013D-03        NaN
  157  705     0     0  con    5  3.1D+00  2.6D-01  2.331D-03        NaN
  158  722     0     0  con   16  5.6D+00  4.8D-01  1.156D-03        NaN
  159  740     0     0  con   17  1.8D+00  4.3D-01  8.195D-04        NaN
  160  745     0     0  con    4  2.8D-01  9.1D-02  9.400D-04        NaN
  161  751     0     0  con    5  4.2D+00  9.6D-02  1.018D-03        NaN
  162  766     0     0  con   14  1.9D+00  2.8D-01  1.100D-03        NaN
  163  771     0     0  con    4  1.4D+00  6.1D-02  9.644D-04        NaN
  164  778     0     0  con    6  3.1D+00  9.8D-02  9.415D-04        NaN
  165  782     0     0  con    3  3.7D-01  1.2D-01  9.030D-04        NaN
  166  788     0     0  con    5  3.3D+00  2.4D-01  9.198D-04        NaN
  167  793     0     0  con    4  3.8D-01  1.5D-01  8.914D-04        NaN
  168  798     0     0  con    4  1.2D+00  2.5D-01  9.354D-04        NaN
  169  803     0     0  con    4  5.0D+00  1.1D-01  1.032D-03        NaN
  170  808     0     0  con    4  6.5D-01  1.1D-01  1.326D-03        NaN
  171  818     0     0  con    9  1.2D+00  9.2D-02  1.417D-03        NaN
  172  827     0     0  con    8  2.8D+00  1.2D-01  1.230D-03        NaN
  173  844     0     0  con   16  1.6D+00  5.4D-01  1.065D-03        NaN
  174  849     0     0  con    4  4.3D-01  1.4D-01  9.299D-04        NaN
  175  854     0     0  con    4  1.5D+00  1.4D-01  7.330D-04        NaN
  176  890     1     0  ---   15  1.6D+00  4.9D-03  7.286D-04        NaN
  177  897     0     0  con    6  4.8D+00  2.1D-02  7.917D-04        NaN
  178  901     0     0  con    3  9.2D-01  1.3D-02  8.507D-04        NaN
  179  907     0     0  con    5  1.6D+01  4.8D-02  9.247D-04        NaN
  180  925     0     0  con   17  6.4D+00  7.4D-02  7.689D-04        NaN
  181  940     0     0  con   14  2.0D+00  8.9D-02  1.153D-03        NaN
  182  945     0     0  con    4  3.7D+00  3.3D-02  6.556D-04        NaN
  183  954     0     0  con    8  2.4D+00  9.3D-02  8.639D-04        NaN
  184  959     0     0  con    4  4.5D-01  6.6D-02  7.636D-04        NaN
  185  974     0     0  con   14  2.0D+00  1.8D-01  1.106D-03        NaN
  186  979     0     0  con    4  3.0D+00  4.3D-01  3.991D-03        NaN
  187  984     0     0  con    4  2.6D-01  3.0D-01  5.209D-03        NaN
  188  989     0     0  con    4  4.5D-01  1.2D-01  4.249D-03        NaN
  189  996     0     0  con    6  1.6D+00  1.8D-01  2.785D-03        NaN
  190 1003     0     0  con    6  1.4D+00  1.6D-01  1.822D-03        NaN
  191 1007     0     0  con    3  1.1D+00  1.4D-01  2.039D-03        NaN
  192 1012     0     0  con    4  7.7D-01  5.8D-02  2.136D-03        NaN
  193 1027     0     0  con   14  2.3D+00  7.8D-02  1.813D-03        NaN
  194 1042     0     0  con   14  2.0D+00  1.0D-01  1.676D-03        NaN
  195 1046     0     0  con    3  8.8D-01  7.0D-02  1.526D-03        NaN
  196 1053     0     0  con    6  3.0D+00  2.8D-01  1.728D-03        NaN
  197 1071     0     0  con   17  1.4D+00  1.6D-01  1.564D-03        NaN
  198 1078     0     0  con    6  1.5D+00  7.1D-02  1.760D-03        NaN
  199 1084     0     0  con    5  1.7D+00  1.1D-01  1.933D-03        NaN
  200 1102     0     0  con   17  1.4D+00  1.5D-01  2.167D-03        NaN
  201 1106     0     0  con    3  4.8D+00  9.6D-02  1.564D-03        NaN
  202 1114     0     0  con    7  5.0D-01  2.8D-02  1.422D-03        NaN
  203 1118     0     0  con    3  7.4D-01  1.6D-02  1.334D-03        NaN
